,tournament,stage,home,score,away,url,first_shooter,First_team_wins
16,Afcon,Quarter-Finals,Tunisia,7:8 PSO,Burkina Faso,https://www.transfermarkt.com/spielbericht/index/spielbericht/2386988,Burkina Faso,1
17,Afcon,Quarter-Finals,Gabon,1:4 PSO,Tunisia,https://www.transfermarkt.com/spielbericht/index/spielbericht/3359461,Tunisia,1
18,Afcon,Final,Ivory Coast,10:9 PSO,Ghana,https://www.transfermarkt.com/spielbericht/index/spielbericht/3413873,Ivory Coast,1
19,Afcon,Third Place Play-Off,Morocco,3:4 PSO,Algeria,https://www.transfermarkt.com/spielbericht/index/spielbericht/3532487,Morocco,0
20,Afcon,Final,Egypt,5:4 PSO,Cameroon,https://www.transfermarkt.com/spielbericht/index/spielbericht/3533830,Egypt,1
21,Afcon,Semi-Finals,Egypt,7:8 PSO,Nigeria,https://www.transfermarkt.com/spielbericht/index/spielbericht/3540951,Nigeria,1
22,Afcon,Semi-Finals,Algeria,4:2 PSO,Egypt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3576819,Algeria,1
23,Afcon,Semi-Finals,Nigeria,4:2 PSO,South Africa,https://www.transfermarkt.com/spielbericht/index/spielbericht/4282500,Nigeria,1
24,Afcon,Round of 16,Senegal,4:5 PSO,Ivory Coast,https://www.transfermarkt.com/spielbericht/index/spielbericht/4273515,Senegal,0
25,Afcon,Final,Senegal,4:2 PSO,Egypt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3744163,Senegal,1
26,Afcon,Semi-Finals,Cameroon,1:3 PSO,Egypt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3742516,Cameroon,0
27,Afcon,Round of 16,Mali,5:6 PSO,Equat. Guinea,https://www.transfermarkt.com/spielbericht/index/spielbericht/3735712,Equat. Guinea,1
28,Afcon,Quarter-Finals,Ivory Coast,3:4 PSO,Algeria,https://www.transfermarkt.com/spielbericht/index/spielbericht/3212125,Algeria,1
29,Afcon,Round of 16,Madagascar,4:2 PSO,DR Congo,https://www.transfermarkt.com/spielbericht/index/spielbericht/3207272,Madagascar,1
30,Afcon,Semi-Finals,Burkina Faso,3:4 PSO,Egypt,https://www.transfermarkt.com/spielbericht/index/spielbericht/2818967,Egypt,1
31,Afcon,Final,Ivory Coast,9:8 PSO,Ghana,https://www.transfermarkt.com/spielbericht/index/spielbericht/2533047,Ghana,0
32,Afcon,Semi-Finals,Burkina Faso,3:2 PSO,Ghana,https://www.transfermarkt.com/spielbericht/index/spielbericht/2289692,Ghana,0
33,Afcon,Final,Zambia,8:7 PSO,Ivory Coast,https://www.transfermarkt.com/spielbericht/index/spielbericht/1184472,Ivory Coast,0
